Date,Adj Close
9/3/2008,78.38
9/2/2008,78.36
8/29/2008,78.48
8/28/2008,78.44
8/27/2008,78.48
8/26/2008,78.43
8/25/2008,78.46
8/22/2008,78.33
8/21/2008,78.47
8/20/2008,78.53
8/19/2008,78.43
8/18/2008,78.37
8/15/2008,78.31
8/14/2008,78.25
8/13/2008,78.22
8/12/2008,78.23
8/11/2008,78.09
8/8/2008,78.2
8/7/2008,78.26
8/6/2008,78.09
8/5/2008,78.08
8/4/2008,78.12
8/1/2008,78.13
7/31/2008,78.11
7/30/2008,77.95
7/29/2008,77.94
7/28/2008,78
7/25/2008,77.84
7/24/2008,77.94
7/23/2008,77.73
7/22/2008,77.77
7/21/2008,77.83
7/18/2008,77.79
7/17/2008,77.94
7/16/2008,78.05
7/15/2008,78.12
7/14/2008,78.01
7/11/2008,77.83
7/10/2008,77.99
7/9/2008,78.09
7/8/2008,77.95
7/7/2008,77.94
7/3/2008,77.9
7/2/2008,77.77
7/1/2008,77.76
6/30/2008,77.78
6/27/2008,77.73
6/26/2008,77.69
6/25/2008,77.47
6/24/2008,77.41
6/23/2008,77.27
6/20/2008,77.35
6/19/2008,77.21
6/18/2008,77.36
6/17/2008,77.29
6/16/2008,77.14
6/13/2008,77.09
6/12/2008,77.01
6/11/2008,77.38
6/10/2008,77.25
6/9/2008,77.43
6/6/2008,77.82
6/5/2008,77.72
6/4/2008,77.82
6/3/2008,77.85
6/2/2008,77.74
5/30/2008,77.79
5/29/2008,77.68
5/28/2008,77.71
5/27/2008,77.85
5/23/2008,77.94
5/22/2008,77.79
5/21/2008,78
5/20/2008,78.09
5/19/2008,77.97
5/16/2008,77.89
5/15/2008,77.87
5/14/2008,77.8
5/13/2008,77.86
5/12/2008,77.99
5/9/2008,78.14
5/8/2008,78.11
5/7/2008,78.05
5/6/2008,77.95
5/5/2008,77.91
5/2/2008,77.82
5/1/2008,77.93
4/30/2008,78.07
4/29/2008,77.92
4/28/2008,77.93
4/25/2008,77.85
4/24/2008,77.84
4/23/2008,78.06
4/22/2008,78.06
4/21/2008,78.03
4/18/2008,78.1
4/17/2008,78.15
4/16/2008,78.29
4/15/2008,78.46
4/14/2008,78.56
4/11/2008,78.61
4/10/2008,78.48
4/9/2008,78.51
4/8/2008,78.36
4/7/2008,78.31
4/4/2008,78.46
4/3/2008,78.32
4/2/2008,78.37
4/1/2008,78.44
3/31/2008,78.72
3/28/2008,78.71
3/27/2008,78.67
3/26/2008,78.58
3/25/2008,78.42
3/24/2008,78.36
3/20/2008,78.69
3/19/2008,78.78
3/18/2008,78.7
3/17/2008,78.98
3/14/2008,78.8
3/13/2008,78.57
3/12/2008,78.6
3/11/2008,78.35
3/10/2008,78.74
3/7/2008,78.66
3/6/2008,78.7
3/5/2008,78.46
3/4/2008,78.51
3/3/2008,78.53
2/29/2008,78.68
2/28/2008,78.41
2/27/2008,78.22
2/26/2008,78.13
2/25/2008,78.01
2/22/2008,78.14
2/21/2008,78.22
2/20/2008,78
2/19/2008,78.1
2/15/2008,78.15
2/14/2008,78.24
2/13/2008,78.29
2/12/2008,78.27
2/11/2008,78.24
2/8/2008,78.21
2/7/2008,78.07
2/6/2008,78.17
2/5/2008,78.15
2/4/2008,77.97
2/1/2008,77.96
1/31/2008,78.08
1/30/2008,78
1/29/2008,77.95
1/28/2008,78
1/25/2008,78.03
1/24/2008,77.83
1/23/2008,78.07
1/22/2008,78.11
1/18/2008,77.78
1/17/2008,77.72
1/16/2008,77.58
1/15/2008,77.52
1/14/2008,77.45
1/11/2008,77.43
1/10/2008,77.21
1/9/2008,77.21
1/8/2008,77.25
1/7/2008,77.14
1/4/2008,77.18
1/3/2008,77.07
1/2/2008,76.95
12/31/2007,76.81
12/28/2007,76.69
12/27/2007,76.59
12/26/2007,76.69
